rank,resume_id,resume_category,job_id,job_title,job_categories,score,relevant
1,18795567,DESIGNER,3900090929,Senior Mechanical HVAC CADD Designer,DESIGNER,0.8591653990745545,True
2,18795567,DESIGNER,3901978509,Sr. Industrial Designer/ Developer,"INFORMATION-TECHNOLOGY, DESIGNER",0.8480734372138977,True
3,18795567,DESIGNER,3901349910,Graphic Designer,"DESIGNER, ARTS",0.8456522965431214,True
4,18795567,DESIGNER,3899530603,Senior Product Designer (Design Systems) ,DESIGNER,0.8420938992500305,True
5,18795567,DESIGNER,3901347227,Senior Graphic Designer,"INFORMATION-TECHNOLOGY, DESIGNER, ARTS",0.8420264850963246,True
1,21669215,PUBLIC-RELATIONS,3758935273,Marketing Coordinator,SALES,0.8554963159561157,False
2,21669215,PUBLIC-RELATIONS,3899522526,Digital Marketing Coordinator,PUBLIC-RELATIONS,0.8286698720671913,True
3,21669215,PUBLIC-RELATIONS,921716,Marketing Coordinator,SALES,0.8278720664978028,False
4,21669215,PUBLIC-RELATIONS,3904915390,"Coordinator, Communications and Marketing","SALES, PUBLIC-RELATIONS",0.8032800841331482,True
5,21669215,PUBLIC-RELATIONS,3906089973,Marketing Operations Coordinator,SALES,0.7988791751861573,False
1,21773106,TEACHER,3904396112,5th Grade Teacher: Uplift Mighty Primary (24-25),TEACHER,0.8359050035476685,True
2,21773106,TEACHER,3904384077,Elementary Teacher - 1st Grade,TEACHER,0.8333102345466614,True
3,21773106,TEACHER,3904390230,Children's Campus - Assistant Teacher,TEACHER,0.8273426175117493,True
4,21773106,TEACHER,3905327950,UT Elementary School Teacher,TEACHER,0.8266776084899903,True
5,21773106,TEACHER,3904916792,Mathematics Teacher,TEACHER,0.825760293006897,True
1,19497420,PUBLIC-RELATIONS,3885111653,Social Media Strategist & Account Manager,SALES,0.7350207567214966,False
2,19497420,PUBLIC-RELATIONS,3905868375,Account Executive,"BUSINESS-DEVELOPMENT, PUBLIC-RELATIONS",0.7314962228139241,True
3,19497420,PUBLIC-RELATIONS,3901372234,Director of Media and Communications,"BUSINESS-DEVELOPMENT, PUBLIC-RELATIONS",0.7295616428057353,True
4,19497420,PUBLIC-RELATIONS,3906259207,Influencer Marketing Manager,SALES,0.7245205203692119,False
5,19497420,PUBLIC-RELATIONS,3902869071,"Director, Social Media",SALES,0.7245185534159343,False
1,15118506,INFORMATION-TECHNOLOGY,3901666087,Director of Information Technology,INFORMATION-TECHNOLOGY,0.8398916284243266,True
2,15118506,INFORMATION-TECHNOLOGY,3894299307,Information Technology Desktop Support,INFORMATION-TECHNOLOGY,0.8204906741778056,True
3,15118506,INFORMATION-TECHNOLOGY,3901977680,Information Technology Project Manager,"INFORMATION-TECHNOLOGY, HEALTHCARE",0.8200108551979065,True
4,15118506,INFORMATION-TECHNOLOGY,3901166220,Information Technology Manager @ Remote,INFORMATION-TECHNOLOGY,0.8096275488535564,True
5,15118506,INFORMATION-TECHNOLOGY,3904724867,Director of Information Technology,INFORMATION-TECHNOLOGY,0.8084456483523051,True
1,64589506,BANKING,3901644109,Senior Essbase Developer ,"INFORMATION-TECHNOLOGY, FINANCE",0.7881686234474182,False
2,64589506,BANKING,3903876855,"Investment Solutions Consultant, FILI - Covington, KY","BUSINESS-DEVELOPMENT, SALES, CONSULTANT",0.7852221886316936,False
3,64589506,BANKING,3891843027,Entry Level Oracle Financial Technology Consultant,"FINANCE, CONSULTANT",0.7677603244781495,False
