rank,resume_id,resume_category,job_id,job_title,job_categories,score,relevant
1,16852973,HR,3903846584,Human Resource Adminstrator,HR,0.6629416,True
2,16852973,HR,3898160952,Human Resources Manager,HR,0.6588422,True
3,16852973,HR,3901340617,Human Resources Administrator,HR,0.65592015,True
4,16852973,HR,3904962016,Director of Sales and Marketing,"BUSINESS-DEVELOPMENT, SALES",0.6493276,False
5,16852973,HR,3889486870,HR Team Lead (Generalist),HR,0.640782,True
1,22323967,HR,3901340617,Human Resources Administrator,HR,0.6674683,True
2,22323967,HR,3905378699,Global HRIS Analyst,HR,0.6615449,True
3,22323967,HR,3891805647,Human Resources Coordinator (Immediate Hire),HR,0.656556,True
4,22323967,HR,3901354827,Human Resources Manager,HR,0.6560445,True
5,22323967,HR,3905833656,Human Resources Manager,HR,0.65421665,True
1,33176873,HR,3901354827,Human Resources Manager,HR,0.64464855,True
2,33176873,HR,3894664659,Human Resources Generalist,HR,0.632054,True
3,33176873,HR,3901340617,Human Resources Administrator,HR,0.624612,True
4,33176873,HR,3905833656,Human Resources Manager,HR,0.6124301,True
5,33176873,HR,3901661179,Chief Human Resource Officer,HR,0.60883677,True
1,27018550,HR,3885830010,Helpdesk Analyst,INFORMATION-TECHNOLOGY,0.64297915,False
2,27018550,HR,3891294480,Associate HR Business Partner (Temporary),HR,0.60668314,True
3,27018550,HR,3891295328,Associate HR Business Partner (Temporary),HR,0.60668314,True
4,27018550,HR,3898164379,HRIS Coordinator,HR,0.6046739,True
5,27018550,HR,3885825896,Helpdesk Tier 1.5,INFORMATION-TECHNOLOGY,0.60301024,False
1,17812897,HR,3905833656,Human Resources Manager,HR,0.82203835,True
2,17812897,HR,3898160952,Human Resources Manager,HR,0.80308384,True
3,17812897,HR,3894664659,Human Resources Generalist,HR,0.7970278,True
4,17812897,HR,3904707714,Human Resources Business Partner,"BUSINESS-DEVELOPMENT, HR",0.7634268,True
5,17812897,HR,3901354827,Human Resources Manager,HR,0.7482426,True
1,11592605,HR,3904706001,Junior Human Resources Generalist,HR,0.60372424,True
2,11592605,HR,3901359319,HR Compliance Officer,HR,0.5851052,True
3,11592605,HR,3894664659,Human Resources Generalist,HR,0.5813045,True
4,11592605,HR,3901963538,Human Resources Generalist,HR,0.5769378,True
5,11592605,HR,3902867178,Business Immigration Paralegal (PERM),ADVOCATE,0.5579459,False
1,25824789,HR,3905833656,Human Resources Manager,HR,0.737646,True
2,25824789,HR,3901354827,Human Resources Manager,HR,0.7252285,True
3,25824789,HR,3715891138,Human Resources Manager,HR,0.69858766,True
4,25824789,HR,3898160952,Human Resources Manager,HR,0.69706124,True
5,25824789,HR,3901661179,Chief Human Resource Officer,HR,0.6901687,True
1,15375009,HR,3905833656,Human Resources Manager,HR,0.8040961,True
2,15375009,HR,3901354827,Human Resources Manager,HR,0.7853512,True
3,15375009,HR,3898160952,Human Resources Manager,HR,0.77904713,True
4,15375009,HR,3894664659,Human Resources Generalist,HR,0.7443056,True
5,15375009,HR,3715891138,Human Resources Manager,HR,0.73480624,True
1,11847784,HR,3901354827,Human Resources Manager,HR,0.7670158,True
2,11847784,HR,3894664659,Human Resources Generalist,HR,0.76431715,True
3,11847784,HR,3901661179,Chief Human Resource Officer,HR,0.7543823,True
4,11847784,HR,3905251179,Human Resources Specialist,HR,0.75341874,True
5,11847784,HR,3899526643,Human Resources Generalist,HR,0.7527876,True
1,32896934,HR,3887861055,Payroll Assistant - W&D,HR,0.6847277,True
2,32896934,HR,3902808886,Position Control Associate,"ACCOUNTANT, FINANCE",0.68035984,False
3,32896934,HR,3898160952,Human Resources Manager,HR,0.678118,True
4,32896934,HR,3905833656,Human Resources Manager,HR,0.67744654,True
5,32896934,HR,3884810067,Accounting Human Resources Manager,"ACCOUNTANT, HR",0.6749395,True
