rank,resume_id,resume_category,job_id,job_title,job_categories,score,relevant
1,16852973,HR,3906094940,Marketing Assistant,SALES,0.1928621089369079,False
2,16852973,HR,3905826617,Marketing And Public Relations Specialist,PUBLIC-RELATIONS,0.18746417438801166,False
3,16852973,HR,3884433996,Sr. Product Marketing Manager,SALES,0.18057016278905508,False
4,16852973,HR,3894299506,"Director, Labor Relations and HR Business Partner (Hybrid)",HR,0.18006496781387776,True
5,16852973,HR,3904390172,Marketing & Public Relations Business Partner,"BUSINESS-DEVELOPMENT, SALES, PUBLIC-RELATIONS",0.17746398874951655,False
1,22323967,HR,3898168088,Senior Marketing Manager,BUSINESS-DEVELOPMENT,0.2367724344626328,False
2,22323967,HR,3895213281,Marketing Assistant,SALES,0.23676266997019232,False
3,22323967,HR,3884433996,Sr. Product Marketing Manager,SALES,0.2192764879414311,False
4,22323967,HR,3899525192,Corporate Communications and Events Specialist ,PUBLIC-RELATIONS,0.2105322806362277,False
5,22323967,HR,3905334038,Content Marketing Specialist,SALES,0.205610592347191,False
1,33176873,HR,3901661179,Chief Human Resource Officer,HR,0.25401746422248084,True
2,33176873,HR,3901635742,Human Resources Director,HR,0.2514701531081206,True
3,33176873,HR,3894299506,"Director, Labor Relations and HR Business Partner (Hybrid)",HR,0.24856827920810703,True
4,33176873,HR,3901963538,Human Resources Generalist,HR,0.2287566356374784,True
5,33176873,HR,3891076706,HR Coordinator,HR,0.2276805200733647,True
1,27018550,HR,3904985330,Assistant Manager - Closing Shifts,"FINANCE, SALES",0.13639685582639197,False
2,27018550,HR,3903476704,HR Operations Analyst,HR,0.1232668116273977,True
3,27018550,HR,3902832363,Sales Specialist,"BUSINESS-DEVELOPMENT, SALES",0.12212182479784277,False
4,27018550,HR,3905833656,Human Resources Manager,HR,0.12171099061452,True
5,27018550,HR,3891076706,HR Coordinator,HR,0.12035530486271362,True
1,17812897,HR,3891076706,HR Coordinator,HR,0.4182202098798396,True
2,17812897,HR,3905833656,Human Resources Manager,HR,0.4146670754574183,True
3,17812897,HR,3905294982,Site HR Partner,HR,0.3873167388227604,True
4,17812897,HR,3889750573,Division Field Human Resources Manager,HR,0.38659241000654815,True
5,17812897,HR,3904707714,Human Resources Business Partner,"BUSINESS-DEVELOPMENT, HR",0.3837212436155374,True
1,11592605,HR,3901963538,Human Resources Generalist,HR,0.15610162570629615,True
2,11592605,HR,3899526643,Human Resources Generalist,HR,0.15556595119904912,True
3,11592605,HR,3901661179,Chief Human Resource Officer,HR,0.15524609701430278,True
4,11592605,HR,3903453711,Human Resources Manager,HR,0.15287443820224608,True
5,11592605,HR,3891076706,HR Coordinator,HR,0.14119055292745544,True
1,25824789,HR,3901661179,Chief Human Resource Officer,HR,0.2761394723307876,True
2,25824789,HR,3900945008,Senior Human Resources Manager,HR,0.26454586415151965,True
3,25824789,HR,3894299506,"Director, Labor Relations and HR Business Partner (Hybrid)",HR,0.2643206459477577,True
4,25824789,HR,3903453711,Human Resources Manager,HR,0.25918868236127796,True
5,25824789,HR,3891076706,HR Coordinator,HR,0.25523849050193925,True
1,15375009,HR,3901963538,Human Resources Generalist,HR,0.30536146345009446,True
2,15375009,HR,3901661179,Chief Human Resource Officer,HR,0.29932701479225715,True
3,15375009,HR,3900945008,Senior Human Resources Manager,HR,0.26961908516624383,True
4,15375009,HR,3903453711,Human Resources Manager,HR,0.26163969593786207,True
5,15375009,HR,3902845594,Human Resources Generalist,HR,0.25021960562054946,True
1,11847784,HR,3891076706,HR Coordinator,HR,0.21269232742870733,True
2,11847784,HR,3889750573,Division Field Human Resources Manager,HR,0.19837369248968378,True
3,11847784,HR,3905294982,Site HR Partner,HR,0.19612864633267427,True
4,11847784,HR,3905833656,Human Resources Manager,HR,0.1948644966019162,True
5,11847784,HR,3904707714,Human Resources Business Partner,"BUSINESS-DEVELOPMENT, HR",0.1851739112315867,True
1,32896934,HR,3891076706,HR Coordinator,HR,0.3750254737717202,True
2,32896934,HR,3901963538,Human Resources Generalist,HR,0.32098293128202177,True
3,32896934,HR,3891014745,Senior Human Resources Generalist,HR,0.2958779442343492,True
4,32896934,HR,3901635742,Human Resources Director,HR,0.28883792512271117,True
5,32896934,HR,3903453711,Human Resources Manager,HR,0.27305047793183584,True
